voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
3.117735,0.102874,-0.305903,-0.729750,0.428862,309.000000,0.001647,3.579929,4.996452,0.002509,0.855953,0.065091,0.000001,0.000001,-0.000003,3.359351,0.428900
3.122037,0.104048,-0.298836,-0.735000,0.442743,319.000000,0.001613,3.580339,4.996482,0.002497,0.851409,0.055116,0.000001,0.000001,0.000015,3.356797,0.442800
3.126241,0.105183,-0.291428,-0.740304,0.456626,329.000000,0.001580,3.578872,4.996519,0.002489,0.849466,0.047684,0.000001,0.000001,0.000007,3.357472,0.456600
3.130350,0.106280,-0.283676,-0.745720,0.470507,339.000000,0.001548,3.575402,4.996538,0.002467,0.888974,0.036595,0.000001,0.000001,-0.000001,3.351432,0.470500
3.134370,0.107341,-0.275624,-0.751183,0.484388,349.000000,0.001518,3.572181,4.996547,0.002445,0.921488,0.028865,0.000001,0.000001,0.000003,3.346247,0.484400
3.138301,0.108365,-0.267238,-0.756800,0.498266,359.000000,0.001489,3.571056,4.996532,0.002424,0.965251,0.036283,0.000001,0.000001,-0.000010,3.339931,0.498300
3.142147,0.109354,-0.258532,-0.762535,0.512146,369.000000,0.001462,3.569074,4.996539,0.002413,0.945447,0.033615,0.000001,0.000001,0.000000,3.336941,0.512200
3.145911,0.110308,-0.249510,-0.768392,0.526024,379.000000,0.001435,3.565840,4.996532,0.002393,0.983830,0.037179,0.000001,0.000001,-0.000001,3.334260,0.526000
3.149591,0.111222,-0.240052,-0.774571,0.539902,389.000000,0.001409,3.562989,4.996522,0.002375,1.019509,0.038871,0.000001,0.000001,0.000009,3.330313,0.539900
3.153187,0.112096,-0.230098,-0.781130,0.553780,399.000000,0.001383,3.557105,4.996509,0.002357,1.048158,0.053278,0.000001,0.000001,0.000002,3.321762,0.553800
3.156700,0.112928,-0.219581,-0.788112,0.567661,409.000000,0.001358,3.552772,4.996524,0.002336,1.094118,0.037396,0.000001,0.000001,0.000000,3.314802,0.567700
3.160122,0.113707,-0.208242,-0.795838,0.581541,419.000000,0.001333,3.546480,4.996535,0.002315,1.150996,0.025470,0.000001,0.000001,0.000009,3.306587,0.581600
3.163454,0.114433,-0.195941,-0.804373,0.595420,429.000000,0.001308,3.538528,4.996531,0.002302,1.155733,0.031169,0.000001,0.000001,0.000005,3.303495,0.595400
3.166690,0.115098,-0.182460,-0.813870,0.609302,439.000000,0.001284,3.532070,4.996553,0.002291,1.154591,0.013911,0.000001,0.000001,0.000015,3.301544,0.609300
3.169831,0.115703,-0.167676,-0.824326,0.623182,449.000000,0.001260,3.518392,4.996560,0.002310,1.080607,-0.014930,0.000001,0.000001,0.000002,3.316787,0.623200
3.172876,0.116247,-0.151500,-0.835695,0.637061,459.000000,0.001236,3.505472,4.996554,0.002295,1.107614,-0.011702,0.000001,0.000001,0.000003,3.310791,0.637100
3.175826,0.116731,-0.133826,-0.847968,0.650940,469.000000,0.001214,3.490590,4.996551,0.002287,1.109472,-0.018481,0.000001,0.000001,0.000004,3.310901,0.651000
3.178679,0.117153,-0.114533,-0.861152,0.664818,479.000000,0.001190,3.471926,4.996545,0.002269,1.157786,-0.013298,0.000001,0.000001,-0.000001,3.301771,0.664800
3.181439,0.117518,-0.093647,-0.875104,0.678698,489.000000,0.001168,3.452624,4.996555,0.002258,1.166961,-0.022960,0.000001,0.000001,0.000011,3.297281,0.678700
3.184108,0.117827,-0.071114,-0.889790,0.692581,499.000000,0.001147,3.432705,4.996576,0.002267,1.122884,-0.011820,0.000001,0.000001,0.000011,3.303765,0.692600
3.186689,0.118085,-0.047017,-0.905059,0.706465,509.000000,0.001126,3.411978,4.996606,0.002265,1.101190,-0.026824,0.000001,0.000001,0.000001,3.304042,0.706500
3.189185,0.118296,-0.021399,-0.920828,0.720342,519.000000,0.001105,3.389689,4.996584,0.002258,1.109563,-0.019663,0.000001,0.000001,-0.000011,3.299478,0.720400
3.191601,0.118462,0.005706,-0.937029,0.734219,529.000000,0.001086,3.368188,4.996573,0.002245,1.131130,-0.009552,0.000001,0.000001,0.000000,3.295703,0.734200
3.193938,0.118587,0.034205,-0.953565,0.748099,539.000000,0.001067,3.344494,4.996579,0.002235,1.144964,-0.005761,0.000001,0.000001,0.000001,3.290550,0.748100
3.196203,0.118677,0.064011,-0.970355,0.761976,549.000000,0.001048,3.324941,4.996563,0.002223,1.165770,0.009011,0.000001,0.000001,-0.000002,3.284559,0.762000
3.198396,0.118732,0.095066,-0.987352,0.775855,559.000000,0.001031,3.299077,4.996559,0.002213,1.178151,0.009973,0.000001,0.000001,0.000000,3.281571,0.775900
3.200522,0.118756,0.127311,-1.004511,0.789736,569.000000,0.001014,3.276930,4.996572,0.002204,1.177416,-0.001222,0.000001,0.000001,0.000004,3.279760,0.789700
3.202582,0.118751,0.160693,-1.021799,0.803614,579.000000,0.000997,3.252494,4.996561,0.002198,1.171277,0.007532,0.000001,0.000001,0.000004,3.278248,0.803600
3.204582,0.118721,0.195096,-1.039145,0.817492,589.000000,0.000981,3.233789,4.996557,0.002195,1.141490,0.013778,0.000001,0.000001,0.000005,3.277793,0.817500
3.206523,0.118668,0.230437,-1.056506,0.831371,599.000000,0.000965,3.207257,4.996553,0.002194,1.135847,0.020300,0.000001,0.000001,0.000002,3.276007,0.831400
3.208408,0.118594,0.266730,-1.073901,0.845248,609.000000,0.000951,3.188167,4.996542,0.002180,1.174053,0.032608,0.000001,0.000001,0.000005,3.271262,0.845300
3.210241,0.118501,0.303805,-1.091238,0.859128,619.000000,0.000936,3.169486,4.996542,0.002170,1.195682,0.027335,0.000001,0.000001,0.000002,3.267674,0.859100
3.212023,0.118392,0.341632,-1.108516,0.873002,629.000000,0.000922,3.151621,4.996511,0.002197,1.164157,-0.017202,0.000001,0.000001,-0.000005,3.277093,0.873000
3.213758,0.118268,0.380155,-1.125717,0.886883,639.000000,0.000908,3.134231,4.996524,0.002190,1.170606,-0.022561,0.000001,0.000001,0.000005,3.273540,0.886900
3.215448,0.118131,0.419296,-1.142810,0.900766,649.000000,0.000895,3.115470,4.996543,0.002188,1.146108,-0.030032,0.000001,0.000001,0.000004,3.275290,0.900800
3.217095,0.117982,0.459031,-1.159799,0.914646,659.000000,0.000882,3.095529,4.996551,0.002180,1.154356,-0.038666,0.000001,0.000001,0.000001,3.273375,0.914700
3.218699,0.117821,0.499339,-1.176685,0.928526,669.000000,0.000870,3.082943,4.996553,0.002169,1.179462,-0.038914,0.000001,0.000001,0.000010,3.268319,0.928500
3.220265,0.117652,0.540090,-1.193415,0.942409,679.000000,0.000858,3.067788,4.996573,0.002168,1.155658,-0.046722,0.000001,0.000001,-0.000003,3.270550,0.942400
3.221793,0.117474,0.581315,-1.210018,0.956289,689.000000,0.000846,3.053573,4.996577,0.002154,1.208439,-0.052970,0.000001,0.000001,0.000002,3.261892,0.956300
3.223285,0.117288,0.622970,-1.226484,0.970169,699.000000,0.000835,3.040530,4.996581,0.002148,1.216224,-0.047178,0.000001,0.000001,0.000005,3.257910,0.970200
3.224744,0.117097,0.664947,-1.242775,0.984050,709.000000,0.000824,3.030081,4.996591,0.002139,1.239472,-0.055037,0.000001,0.000001,0.000007,3.254270,0.984100
